Gene	WGD_Estimate	WGD_Zvalue	WGD_Pvalue	WGD_FDR
CHD1	-1.05295919397089	-3.45124911157612	0.000557998276945416	0.340378948936704
AKT1	-1.59577833501024	-3.02068346959381	0.0025220486066724	0.405641875682098
AHR	-1.01694520377685	-2.99501999599889	0.00274426850800291	0.405641875682098
PTEN	-0.447563642595062	-2.80929533468397	0.00496500766758336	0.405641875682098
KMT2B	-0.563344778365236	-2.77054964003672	0.00559617693784152	0.405641875682098
ZFHX3	-0.498534727833726	-2.7552165218343	0.00586533061978011	0.405641875682098
ZEB2	0.59592915823015	2.70806349743201	0.00676770726753557	0.405641875682098
TGFBR2	-0.815052577214552	-2.69033665325569	0.00713799701921139	0.405641875682098
RAC1	-1.1806025563586	-2.67553831215427	0.00746093451710453	0.405641875682098
BCORL1	-0.553652848273549	-2.6569751223719	0.00788452611130095	0.405641875682098
FGFR3	-0.942691824958309	-2.64799240475116	0.00809713443718	0.405641875682098
RB1	-0.409425304535761	-2.63432880785091	0.00843038040909838	0.405641875682098
CD79A	-2.11359273395095	-2.62578946815856	0.00864482685879881	0.405641875682098
PIK3CA	-0.288980735653012	-2.54911602576152	0.0107996363617677	0.470555584334162
LAMA3	0.49752401721204	2.46355526400565	0.0137566686337514	0.510775804577433
MPP7	-0.831109627622134	-2.44978501429835	0.0142941532122834	0.510775804577433
NF1	-0.358453295668236	-2.41708256658288	0.0156454677575935	0.510775804577433
PIK3CB	0.802244440216464	2.39263820402899	0.0167277268557927	0.510775804577433
GPR160	-1.48327311312538	-2.38629487727592	0.0170190986232104	0.510775804577433
SLC3A2	1.47714451046877	2.34856588998926	0.0188458644692739	0.510775804577433
IPO11	-0.844607935206747	-2.31907385919665	0.0203910318904713	0.510775804577433
MECOM	0.592278315231847	2.31068696575294	0.020850151710472	0.510775804577433
OR10A4	0.88937676226847	2.30408893936816	0.0212176515050338	0.510775804577433
H2AFY2	-1.2665934247438	-2.29724721862662	0.0216046708833591	0.510775804577433
KMT2C	-0.293136678081665	-2.29305603806593	0.0218447789266388	0.510775804577433
FAS	-1.44082600664579	-2.27333452022095	0.0230060287908164	0.510775804577433
CCAR1	-0.678657333876665	-2.26751620956344	0.0233587098285508	0.510775804577433
NID2	-0.492212552866412	-2.25432917473989	0.0241754672568147	0.510775804577433
KLHL6	-0.720389034236619	-2.2431471940937	0.0248873241954689	0.510775804577433
PAX6	1.00174289710835	2.23075252511423	0.0256975262591074	0.510775804577433
ABL1	-0.708005486079401	-2.22684762950422	0.0259574589211482	0.510775804577433
PPP1R36	-1.0404829109509	-2.19430044771212	0.0282138172950507	0.537825892186905
AMER1	-0.432988773100473	-2.17784662967486	0.0294174570139722	0.543777235712819
PKD2L2	-0.877747255652146	-2.15822218559129	0.030910561296559	0.549090692260598
IRF2	-0.866598270565295	-2.13359682973575	0.0328757977265318	0.549090692260598
BCOR	-0.474828341456331	-2.12569154583334	0.0335289513326786	0.549090692260598
HSPA4L	-0.904789385074261	-2.11730591451712	0.034233893266351	0.549090692260598
GNA11	-1.02015930383413	-2.10368102508675	0.0354062807417965	0.549090692260598
ADAM30	-0.647135370851821	-2.10051697513056	0.0356833889540983	0.549090692260598
CDK4	-0.9920184944281	-2.08824353147129	0.0367758723566128	0.549090692260598
SMAD4	-0.432853847888426	-2.08680134287331	0.0369060957093189	0.549090692260598
CNTLN	-0.502218616610584	-2.04926346427567	0.0404363592230249	0.557800332023705
DSC2	-0.643477698304873	-2.04711535657507	0.0406467595269738	0.557800332023705
FAT1	-0.281839795326305	-2.04061206662482	0.0412894018359017	0.557800332023705
PTPN11	-0.805235768916073	-2.03626732003035	0.0417235195171109	0.557800332023705
DNMT3A	-0.593997549848228	-2.0247535148085	0.0428926805073804	0.557800332023705
C3orf70	1.31577212407137	2.01697490865735	0.0436981318418131	0.557800332023705
SMC1A	-0.642751331117431	-2.00747486884996	0.0446991239340609	0.557800332023705
ATRX	-0.29412251221151	-2.00646263066964	0.0448069119166583	0.557800332023705
UPF3B	-0.695062195663182	-1.97622750592992	0.0481290159333555	0.587173994386937
IL6ST	0.777290032342488	1.95692081505871	0.0503567789023049	0.594968577555918
KMT2D	-0.247368491715145	-1.94009816359919	0.0523677611614183	0.594968577555918
RAB3GAP1	0.632872081915281	1.93688345161002	0.0527595917515893	0.594968577555918
FLNB	0.461431219332189	1.92987952372019	0.0536217670849733	0.594968577555918
SLC16A7	-0.727639327082252	-1.92969445187911	0.0536447078124188	0.594968577555918
GATA3	-0.521312153215282	-1.91212272694111	0.0558604544312461	0.608479950054645
GRIK4	-0.502577612065566	-1.89760622762458	0.0577479734424345	0.613533461103928
DICER1	0.501342761284081	1.89316471317038	0.0583359684328325	0.613533461103928
STAT4	0.582494395248006	1.86159674949028	0.0626599518212661	0.64541972792195
