"","user.self","sys.self","elapsed","user.child","sys.child"
"1",318.189,4.033,322.22,0,0
"2",300.78,3.084,303.858,0,0
"3",313.63,3.376,317.004,0,0
"4",305.45,3.027,308.472,0,0
"5",303.957,3.172,307.123,0,0
"6",309.334,3.041,312.37,0,0
"7",324.558,3.503,328.059,0,0
"8",309.97,3.415,313.38,0,0
"9",300.43,3.236,303.675,0,0
"10",311.941,3.338,315.276,0,0
"11",325.918,3.071,328.984,0,0
"12",242.142,2.559,244.697,0,0
"13",307.905,3.018,310.921,0,0
"14",311.284000000001,3.486,314.765,0,0
"15",305.565000000001,3.54,309.099,0,0
"16",330.119000000001,3.831,333.945,0,0
"17",337.806,3.468,341.272999999999,0,0
"18",285.420999999999,3.263,288.679,0,0
"19",335.881,3.468,339.346,0,0
"20",293.001,3.05800000000001,296.054,0,0
