"","user.self","sys.self","elapsed","user.child","sys.child"
"1",123.15,1.411,124.602,0,0
"2",119.596,0.997,120.596,0,0
"3",122.342,0.897,123.248,0,0
"4",120.404,0.923999999999999,121.334,0,0
"5",122.589,0.852,123.443,0,0
"6",122.823,0.675000000000001,123.532,0,0
"7",117.832,0.699999999999999,118.538,0,0
"8",126.282,0.741,127.016,0,0
"9",125.275,0.790000000000001,126.057,0,0
"10",118.22,0.683,118.9,0,0
"11",124.485,0.809999999999999,125.288,0,0
"12",109.932,0.731,110.658,0,0
"13",121.244,0.656000000000001,121.895,0,0
"14",122.047,0.632,122.679,0,0
"15",125.241,0.758000000000001,125.993,0,0
"16",118.658,0.643000000000001,119.295,0,0
"17",123.301,0.667,123.961,0,0
"18",121.197,0.750999999999998,121.941,0,0
"19",118.991,0.619,119.604,0,0
"20",122.077,0.695,122.766,0,0
