"","user.self","sys.self","elapsed","user.child","sys.child"
"1",225.298,1.646,226.961,0,0
"2",216.721,1.086,217.838,0,0
"3",214.02,0.866,214.902,0,0
"4",217.695,0.773,218.479,0,0
"5",218.396,0.582,218.99,0,0
"6",220.76,0.461,221.228,0,0
"7",224.83,0.457,225.293,0,0
"8",220.663,0.471,221.139,0,0
"9",211.66,0.438000000000001,212.109,0,0
"10",218.266,0.415000000000001,218.686,0,0
"11",225.049,0.447999999999999,225.502,0,0
"12",216.944,0.427,217.382,0,0
"13",221.758,0.387,222.15,0,0
"14",215.487,0.324,215.82,0,0
"15",218.702,0.527000000000001,219.234,0,0
"16",216.899,0.369999999999999,217.272,0,0
"17",214.834,0.317,215.154,0,0
"18",213.31,0.346,213.661,0,0
"19",221.642,0.383999999999999,222.031,0,0
"20",219.575000000001,0.477,220.062,0,0
